,reference,doc,candidate,index
0,Incubation period of the virus,wuclekt6,what is the average blood test for covid,0
1,Incubation period of the virus,e3t1f0rt,incubation period for covid,0
2,Incubation period of the virus,ragcpbl6,where does the covid epidemic originate,0
3,Incubation period of the virus,n0uwy77g,duration of hospitalization for covid,0
4,Incubation period of the virus,x23ej29m,what is covid 19,0
5,Incubation period of the virus,56zhxd6e,what is the incubation period for covid,0
6,Incubation period of the virus,zph6r4il,what is the significance of covid,0
7,Incubation period of the virus,djq0lvr2,what is the incubation period for sars,0
8,Incubation period of the virus,n0vmb946,incubation period for sars,0
9,Incubation period of the virus,awgyxn3t,what is the typical feature of ground glass opacity in paediatric patients?,0
10,Incubation period of the virus,glq0lckz,sars cov 2 incubation period,0
11,Incubation period of the virus,8anqfkmo,incubation period for sars,0
12,Incubation period of the virus,v3gww4iv,incubation period for corona,0
13,Incubation period of the virus,66ulqu11,incubation period for covid,0
14,Incubation period of the virus,ti9b1etu,coronavirus incubation period,0
15,Incubation period of the virus,k3f7ohzg,what is the clinical characteristic of covid,0
16,Incubation period of the virus,jxtch47t,what is the incubation period for sars,0
17,Incubation period of the virus,dbzrd23n,what is the classification of sars-cov-2,0
18,Incubation period of the virus,1mxjklgx,what is the incubation period for covid,0
19,Incubation period of the virus,ykofrn9i,incubation period for covid,0
20,Incubation period of the virus,u8goc7io,what is the incubation period for coronavirus,0
21,Incubation period of the virus,1mxjklgx,what is the incubation period for covid,0
22,Incubation period of the virus,9mact9br,how long does it take to recover from sars,0
23,Length of viral shedding after illness onset,r5a46n9a,when is the sars-cov 2 outbreak,0
24,Incubation period across different age groups,giabjjnz,how many people have sars cov2,0
25,Incubation period across different age groups,djq0lvr2,what is the incubation period for sars,0
26,Incubation period across different age groups,awgyxn3t,what is the typical feature of ground glass opacity in paediatric patients?,0
27,Incubation period across different age groups,gxk5t1yp,incubation time for covid,0
28,Proportion of patients who were asymptomatic,bmsmegbs,sars cov 2 symptoms,0
29,Proportion of patients who were asymptomatic,7w1bhaz6,what is the clinical characteristics of sars,0
30,Proportion of patients who were asymptomatic,xsqgrd5l,what is the secondary clinical attack rate for covid,0
31,Proportion of patients who were asymptomatic,56zhxd6e,what is the incubation period for covid,0
32,Proportion of patients who were asymptomatic,atnz63pk,what is the asymptomatic proportion of covid,0
33,Proportion of patients who were asymptomatic,ofoqk100,what is the communicable period for covid,0
34,Proportion of patients who were asymptomatic,k3f7ohzg,what is the clinical characteristic of covid,0
35,Proportion of patients who were asymptomatic,c5be70t6,what is the proportion of sars-cov-2 cases,0
36,Proportion of pediatric patients who were asymptomatic,xsgxd5sy,what is the etiological agent for sars,0
37,Proportion of pediatric patients who were asymptomatic,dmrtsxik,what is the clinical features of covid,0
38,Proportion of pediatric patients who were asymptomatic,7w1bhaz6,what is the clinical characteristics of sars,0
39,Proportion of pediatric patients who were asymptomatic,jvhrp51s,what is the prevalence of covid in children,0
40,Proportion of pediatric patients who were asymptomatic,j58f1lwa,what is the primary outcome of the covid outbreak,0
41,Proportion of pediatric patients who were asymptomatic,mar8zt2t,what is the clinical characteristic of sars,0
42,Proportion of pediatric patients who were asymptomatic,jsjxdmi2,what is the clinical characteristics of covid,0
43,Proportion of pediatric patients who were asymptomatic,hd4qul4t,duration of sars-cov-2 positive,0
44,Proportion of pediatric patients who were asymptomatic,pqg0g1nx,what is the clinical features of covid,0
45,Asymptomatic transmission during incubation,eflwztji,what is the incubation period for sars,0
46,Asymptomatic transmission during incubation,v3gww4iv,incubation period for corona,0
47,Asymptomatic transmission during incubation,56zhxd6e,what is the incubation period for covid,0
48,Asymptomatic transmission during incubation,v3gww4iv,incubation period for corona,0
49,Length of viral shedding in stool,k86ljbxu,when do you shed sars in stool,0
50,Length of viral shedding in stool,ouca1bol,what is the rna in nps,0
51,Length of viral shedding in stool,r5a46n9a,when is the sars-cov 2 outbreak,0
52,Length of viral shedding in stool,we9kzreh,how long does it take for a sars cov-2 swab to show positive,0
53,Length of viral shedding from nasopharynx,r5a46n9a,when is the sars-cov 2 outbreak,0
54,Length of viral shedding in blood,ac4aesoa,what is rt pcr,0
55,Prevalence of viral shedding in blood,r5a46n9a,when is the sars-cov 2 outbreak,0
56,Sensitivity and specificity of COVID-19 tests,aa7slcnc,what is the qpcr protocol,0
57,Sensitivity and specificity of COVID-19 tests,na8odvj7,what is the specific igg of corona virus,0
58,Sensitivity and specificity of COVID-19 tests,py38bel4,what is the positive igg for covid,0
59,Sensitivity and specificity of COVID-19 tests,5skk3nj4,what is the morphology of covid,0
60,Sensitivity and specificity of COVID-19 tests,cv3qgno3,what is the method used to detect sars,0
61,Sensitivity and specificity of COVID-19 tests,chln5r8w,what is the sensitivity of rrt pcr,0
62,Sensitivity and specificity of COVID-19 tests,s7uqawbd,what is sars-cov,0
63,Effects of temperature on the transmission of COVID-19,r141na6j,what is the incidence of covid in china,0
64,Effects of temperature on the transmission of COVID-19,mdyojac2,what is the correlation between rr and ros,0
65,Effects of temperature on the transmission of COVID-19,vc2eheb6,how does temperature affect covid,0
66,Effects of temperature on the transmission of COVID-19,fcaeoyxd,what is the global pattern of covid outbreaks,0
67,Effects of temperature on the transmission of COVID-19,drzphrqj,what is the temperature of covid,0
68,Effects of temperature on the transmission of COVID-19,eob22inx,what is the effect of temperature on mortality,0
69,Effects of temperature on the transmission of COVID-19,ekal5251,coronavirus how does it spread,0
