,question,counts
0,what is the treatment for covid,3214
1,what is covid 19,2622
2,what is covid-19,1797
3,what is sars cov,1717
4,what is the risk of covid,1498
5,what is the impact of covid,1474
6,what is covid,1328
7,what is the prevalence of covid,1103
8,what is sars-cov,1005
9,what is the mortality rate of covid,955
10,what is the incubation period for covid,942
11,what is the sir model,916
12,what is sars-cov-2,842
13,what is the incidence of covid,810
14,what is social distancing,687
15,what is the effect of covid,601
16,what is the impact of the covid pandemic,599
17,what is sars cov2,575
18,what is the risk factor for covid,572
19,what is the severity of covid,565
20,what is the pandemic of covid,548
21,what is the purpose of covid 19,519
22,what is the purpose of covid,514
23,what is remdesivir,483
24,what is rt pcr,475
25,what is the treatment for covid 19,457
26,what is the treatment for sars,454
27,what is the risk of covid-19,444
28,what is the cause of covid,441
29,what is telemedicine,439
30,what is the impact of covid 19,426
31,what is the risk of covid 19,420
32,what is the incubation period for sars,408
33,incubation period for covid,397
34,what is the clinical characteristic of covid,384
35,what is ace2,383
36,what is the basic reproduction number,379
37,what is the disease covid,377
38,what is the prognosis of covid,373
39,what is the impact of the pandemic,365
40,what is the sars-cov,361
41,what is the clinical manifestation of covid,356
42,what is the diagnosis of covid,351
43,what is the sars cov,349
44,what is the treatment for sars cov,335
45,how long does it take for covid to spread,323
46,what is spike protein,320
47,how long does it take for sars to spread,317
48,what is the impact of the covid-19 pandemic,313
49,what is the effect of covid 19,311
50,what is the function of ace2,307
51,what is the clinical course of covid,305
52,what is tocilizumab used for,304
53,what is the pathophysiology of covid,297
54,what is the function of sars-cov-2,282
55,covid symptoms,281
56,what is ppe,277
57,where is sars cov2 found,274
58,what is the impact of the covid epidemic,270
59,why do people wear masks,267
60,what is the pandemic,264
61,what is the definition of covid,262
62,what is the seir model,256
63,incubation period for sars,254
64,what is the genotype of covid,254
65,what is the mortality rate for covid,242
66,what is the sars-cov-2 virus,241
67,why is covid 19 important,238
68,what is the comorbidity of covid,237
69,what is the role of ace2 in sars-cov-2,229
70,when did covid 19 start,228
71,what is the effect of the covid pandemic,227
72,what is the role of ace2 in sars,225
73,why is social distancing important,224
74,what is telehealth,222
75,what is the sars-cov-2,217
76,who is the author of the study,216
77,what is the function of sars-cov,215
78,what is sars cov-2,212
79,where is ace2 expressed,212
80,what is the spread of covid,210
81,what is tocilizumab,208
82,what is the ace2 gene,206
83,what is the symptoms of covid,203
84,what is the risk of sars-cov-2,200
85,what is the pathogenesis of covid,199
86,what is il-6,199
87,what is the prevalence of sars cov-2,199
88,why is telemedicine important,198
89,covid 19 symptoms,198
90,what is the ct of covid,193
91,what is the impact of covid-19,192
92,what is the role of covid 19,190
93,what is the purpose of ppe,184
94,what is the current pandemic,184
95,what is the mechanism of covid,184
96,what is the epidemiology of covid,183
97,what is the target of sars-cov-2,179
98,what is the most common symptom of covid,179
99,how many cases of covid in china,178
100,what is the age range for covid,178
101,when is sars cov-2 detected,175
102,what is the risk of sars cov-2,172
103,when did the covid epidemic start,172
104,what is the mechanism of sars-cov-2,170
105,what is the cytokine storm,166
106,why is telehealth important,166
107,what is tmprss2,164
108,what is the cause of covid 19,162
109,how many cases of covid are there,162
110,what is the population of covid,161
111,what is coronavirus,161
112,what is the impact of the coronavirus,158
113,what is the effect of the covid epidemic,158
114,what is the clinical characteristics of covid,158
115,how many people have died from covid,158
116,what is the difference between sars and covid,157
117,what is the treatment for sars-cov-2,157
118,what is hcq used for,156
119,what is the role of ace2 in sars-cov,154
120,what is the sensitivity of covid,154
121,what is the effect of social distancing,154
122,when is covid 19 diagnosed,153
123,what is hydroxychloroquine,152
124,what is the vaccine for covid,152
125,what is the meaning of the word............................,151
126,what is chloroquine used for,146
127,what is the effect of the covid-19 pandemic,145
128,what is the treatment for coronavirus,144
129,what is hydroxychloroquine used for,144
130,how long does sars cov-2 last,143
131,what is the difference between covid-19 and covid-19,143
132,how many cases of covid,139
133,what is the prevalence of sars,139
134,what is the purpose of telemedicine,138
135,what is the sars vaccine,137
136,what was the impact of the covid pandemic,137
137,what is covid19,135
138,what is vitamin d deficiency,135
139,what is the economic impact of covid,135
140,what is remdesivir used for,135
141,what is the role of sars-cov-2,134
142,what is the genotype of sars-cov-2,134
143,what is the clinical features of covid,134
144,where is sars-cov-2 found,133
145,what is sars-cov2,133
146,what is the sars virus,132
147,where does sars cov come from,131
148,what is the fatality rate of covid,131
149,what is the sensitivity of rt pcr,131
150,what is the purpose of covid-19,130
151,what is the clinical presentation of covid,128
152,where is covid 19,127
153,when is covid 19,125
154,who is the author of this article,120
155,what is the incubation period for coronavirus,119
156,what is the difference between covid and covid,119
157,what is d dimer,119
158,when is covid 19 detected,119
159,who designed the study,118
160,what is the effect of covid-19,118
161,what is the average age of a covid patient,116
162,where is sars cov2 from,115
163,what is ecmo,115
164,what is resilience,113
165,what is the sensitivity of a ct scan,113
166,what is the structure of sars-cov,112
167,what is the coronavirus,112
168,what is the structure of sars-cov-2,112
169,what is the cov virus,110
170,what is vitamin d,110
171,when did covid 19 spread,110
172,what is cytokine storm,110
173,what is the incidence of sars cov-2,108
174,what is the model of covid,107
175,what is ards,107
176,what is the rbd of sars-cov,105
177,what is the long term effect of covid,105
178,what is telemedicine used for,104
179,what is mers-cov,103
180,what is the vaccine for sars,103
